日期,星期,最高气温,最低气温,天气,风向,级数
2023-01-01,星期日,1℃,-5℃,多云,东北风,1级
2023-01-02,星期一,0℃,-5℃,冻雨,东南风,2级
2023-01-03,星期二,2℃,-7℃,多云,西南风,1级
2023-01-04,星期三,1℃,-4℃,多云,西北风,3级
2023-01-05,星期四,6℃,-4℃,多云,北风,1级
2023-01-06,星期五,10℃,-6℃,多云,西风,3级
2023-01-07,星期六,12℃,-7℃,晴,南风,2级
2023-01-08,星期日,11℃,-6℃,晴,东南风,2级
2023-01-09,星期一,10℃,-4℃,晴,南风,2级
2023-01-10,星期二,11℃,-3℃,晴,西南风,2级
2023-01-11,星期三,10℃,-3℃,多云,东风,1级
2023-01-12,星期四,12℃,-2℃,多云,北风,3级
2023-01-13,星期五,15℃,-2℃,晴,西北风,2级
2023-01-14,星期六,2℃,-3℃,阴,东风,1级
2023-01-15,星期日,-4℃,-6℃,阴,西风,2级
2023-01-16,星期一,-2℃,-8℃,阴,西南风,1级
2023-01-17,星期二,-4℃,-10℃,阴,东风,1级
2023-01-18,星期三,-3℃,-10℃,多云,西南风,2级
2023-01-19,星期四,1℃,-8℃,多云,东南风,2级
2023-01-20,星期五,0℃,-5℃,晴,西北风,1级
2023-01-21,星期六,1℃,-2℃,晴,西南风,1级
2023-01-22,星期日,1℃,-2℃,多云,南风,2级
2023-01-23,星期一,-1℃,-7℃,多云,北风,2级
2023-01-24,星期二,0℃,-2℃,多云,北风,1级
2023-01-25,星期三,4℃,2℃,多云,东北风,1级
2023-01-26,星期四,-2℃,-6℃,雾,东风,1级
2023-01-27,星期五,0℃,-6℃,多云,东北风,1级
2023-01-28,星期六,3℃,-5℃,多云,东风,1级
2023-01-29,星期日,9℃,-5℃,晴,东南风,1级
2023-01-30,星期一,11℃,-1℃,晴,东南风,1级
2023-01-31,星期二,16℃,0℃,晴,东北风,1级
