日期,星期,最高气温,最低气温,天气,风向,级数
2023-06-01,星期四,22℃,11℃,多云,东南风,2级
2023-06-02,星期五,20℃,11℃,多云~阴,东南风,2级
2023-06-03,星期六,20℃,11℃,多云,东南风,2级
2023-06-04,星期日,19℃,10℃,多云,东风,2级
2023-06-05,星期一,17℃,10℃,阵雨~阴,东北风,3级
2023-06-06,星期二,17℃,10℃,阵雨,东南风,2级
2023-06-07,星期三,18℃,9℃,阴~阵雨,东南风,1级
2023-06-08,星期四,15℃,8℃,阴~阵雨,东风,2级
2023-06-09,星期五,15℃,8℃,阵雨,西南风,1级
2023-06-10,星期六,18℃,8℃,多云~阵雨,南风,1级
2023-06-11,星期日,12℃,6℃,小雨~阵雨,西风,2级
2023-06-12,星期一,19℃,6℃,多云~阵雨,东南风,2级
2023-06-13,星期二,15℃,8℃,中雨~阵雨,西风,1级
2023-06-14,星期三,12℃,9℃,小雨~阵雨,东南风,1级
2023-06-15,星期四,15℃,7℃,多云~阵雨,南风,2级
2023-06-16,星期五,17℃,9℃,雾~阴,东南风,2级
2023-06-17,星期六,17℃,13℃,小雨~多云,西北风,2级
2023-06-18,星期日,22℃,11℃,多云~阵雨,东风,2级
2023-06-19,星期一,17℃,11℃,中雨~阵雨,东风,1级
2023-06-20,星期二,17℃,10℃,小雨~阵雨,东风,1级
2023-06-21,星期三,15℃,9℃,多云~阵雨,北风,1级
2023-06-22,星期四,16℃,10℃,小雨~阵雨,东北风,1级
2023-06-23,星期五,18℃,9℃,小雨~多云,东风,1级
2023-06-24,星期六,20℃,11℃,多云,南风,2级
2023-06-25,星期日,23℃,10℃,多云,东南风,2级
2023-06-26,星期一,23℃,14℃,多云,东风,2级
2023-06-27,星期二,24℃,10℃,阴,西风,1级
2023-06-28,星期三,22℃,12℃,阴,西风,1级
2023-06-29,星期四,23℃,10℃,暴雨,东风,1级
2023-06-30,星期五,23℃,12℃,多云,东风,3级
