日期,星期,最高气温,最低气温,天气,风向,级数
2020-05-01,星期五,31℃,17℃,晴转多云,南风,2级
2020-05-02,星期六,34℃,19℃,晴,南风,2级
2020-05-03,星期日,36℃,22℃,多云,南风,2级
2020-05-04,星期一,31℃,21℃,多云,东风,2级
2020-05-05,星期二,31℃,21℃,多云,西北风,1级
2020-05-06,星期三,30℃,21℃,多云,东风,2级
2020-05-07,星期四,27℃,21℃,多云转阴,东北风,3级
2020-05-08,星期五,27℃,18℃,多云转阴,西南风,2级
2020-05-09,星期六,24℃,16℃,晴转多云,西风,2级
2020-05-10,星期日,28℃,14℃,多云转雨,南风,2级
2020-05-11,星期一,28℃,16℃,小雨转多云,西风,2级
2020-05-12,星期二,26℃,15℃,阴转多云,西南风,1级
2020-05-13,星期三,25℃,15℃,阴,东风,2级
2020-05-14,星期四,28℃,17℃,晴转多云,东南风,2级
2020-05-15,星期五,30℃,17℃,多云转雨,东南风,2级
2020-05-16,星期六,30℃,19℃,多云转阴,西风,2级
2020-05-17,星期日,35℃,21℃,晴,南风,2级
2020-05-18,星期一,34℃,20℃,多云,南风,2级
2020-05-19,星期二,32℃,20℃,多云,东风,2级
2020-05-20,星期三,28℃,20℃,小雨转雨,东北风,3级
2020-05-21,星期四,26℃,19℃,阴,西南风,2级
2020-05-22,星期五,32℃,21℃,多云转阴,南风,2级
2020-05-23,星期六,31℃,20℃,多云转雨,东风,2级
2020-05-24,星期日,27℃,18℃,多云转阴,东北风,3级
2020-05-25,星期一,25℃,16℃,阴,西南风,2级
2020-05-26,星期二,26℃,17℃,阴,南风,2级
2020-05-27,星期三,23℃,16℃,阴,西南风,2级
2020-05-28,星期四,25℃,16℃,晴转多云,南风,3级
2020-05-29,星期五,30℃,16℃,晴,南风,2级
2020-05-30,星期六,30℃,18℃,多云转雨,东南风,2级
2020-05-31,星期日,30℃,20℃,晴转多云,东南风,2级
