日期,星期,最高气温,最低气温,天气,风向,级数
2023-12-01,星期五,12℃,8℃,阴,东南风,2级
2023-12-02,星期六,11℃,8℃,阴~多云,东南风,1级
2023-12-03,星期日,15℃,7℃,雾~多云,东南风,1级
2023-12-04,星期一,17℃,9℃,多云~阴,东南风,2级
2023-12-05,星期二,12℃,6℃,雾~多云,东北风,1级
2023-12-06,星期三,18℃,4℃,雾~晴,东南风,1级
2023-12-07,星期四,15℃,8℃,多云~阴,东北风,1级
2023-12-08,星期五,16℃,7℃,多云,东北风,1级
2023-12-09,星期六,16℃,9℃,多云~阴,东风,1级
2023-12-10,星期日,14℃,10℃,多云~阴,东北风,1级
2023-12-11,星期一,19℃,7℃,雾~多云,东南风,1级
2023-12-12,星期二,17℃,6℃,阴~多云,东南风,2级
2023-12-13,星期三,14℃,10℃,雾~多云,东北风,2级
2023-12-14,星期四,16℃,6℃,多云~阴,东北风,2级
2023-12-15,星期五,8℃,2℃,阴~多云,东北风,3级
2023-12-16,星期六,4℃,1℃,阴~晴,东北风,2级
2023-12-17,星期日,4℃,3℃,阴,东风,1级
2023-12-18,星期一,9℃,0℃,多云~晴,东南风,1级
2023-12-19,星期二,10℃,1℃,晴,东南风,2级
2023-12-20,星期三,9℃,4℃,阴,东南风,2级
2023-12-21,星期四,10℃,3℃,多云,东南风,1级
2023-12-22,星期五,9℃,1℃,多云,东风,1级
2023-12-23,星期六,9℃,0℃,多云~晴,东北风,1级
2023-12-24,星期日,12℃,2℃,多云,南风,1级
2023-12-25,星期一,11℃,0℃,多云,东北风,1级
2023-12-26,星期二,14℃,2℃,多云~晴,南风,1级
2023-12-27,星期三,14℃,4℃,多云~阴,东北风,1级
2023-12-28,星期四,10℃,6℃,多云,东北风,1级
2023-12-29,星期五,16℃,5℃,多云~晴,东南风,1级
2023-12-30,星期六,13℃,4℃,多云~阴,东北风,2级
2023-12-31,星期日,13℃,4℃,阴~多云,东风,1级
