日期,星期,最高气温,最低气温,天气,风向,级数
2023-05-01,星期一,30℃,17℃,多云~小雨,东北风,4级
2023-05-02,星期二,27℃,17℃,多云~小雨,北风,2级
2023-05-03,星期三,28℃,20℃,多云,东北风,2级
2023-05-04,星期四,32℃,18℃,多云~小雨,东北风,1级
2023-05-05,星期五,25℃,16℃,多云~小雨,东南风,1级
2023-05-06,星期六,29℃,17℃,多云~小雨,西风,4级
2023-05-07,星期日,24℃,15℃,多云~小雨,东北风,3级
2023-05-08,星期一,15℃,14℃,小雨,北风,3级
2023-05-09,星期二,16℃,14℃,小雨,北风,3级
2023-05-10,星期三,24℃,15℃,多云~阴,西南风,2级
2023-05-11,星期四,26℃,16℃,阴,西风,3级
2023-05-12,星期五,29℃,16℃,多云,西南风,2级
2023-05-13,星期六,30℃,15℃,多云~阴,南风,2级
2023-05-14,星期日,29℃,17℃,多云~阴,南风,2级
2023-05-15,星期一,28℃,17℃,多云,西南风,2级
2023-05-16,星期二,32℃,18℃,多云,南风,1级
2023-05-17,星期三,30℃,20℃,多云~阴,北风,3级
2023-05-18,星期四,29℃,19℃,多云~阴,南风,2级
2023-05-19,星期五,29℃,20℃,雾~阴,东南风,1级
2023-05-20,星期六,29℃,21℃,雾~小雨,东北风,1级
2023-05-21,星期日,23℃,14℃,雾~小雨,西南风,2级
2023-05-22,星期一,21℃,15℃,雾~阴,西南风,2级
2023-05-23,星期二,26℃,15℃,雾~晴,东南风,1级
2023-05-24,星期三,25℃,19℃,雾~阴,东北风,3级
2023-05-25,星期四,26℃,19℃,多云~阴,东北风,2级
2023-05-26,星期五,27℃,20℃,多云,东风,2级
2023-05-27,星期六,27℃,21℃,多云,西风,0级
2023-05-28,星期日,31℃,21℃,雾~多云,东北风,2级
2023-05-29,星期一,34℃,21℃,多云~阴,东南风,1级
2023-05-30,星期二,36℃,24℃,多云~阴,南风,0级
2023-05-31,星期三,35℃,22℃,小雨~阴,东北风,3级
