日期,星期,最高气温,最低气温,天气,风向,级数
2023-12-01,星期五,12℃,10℃,小雨~阴,东北风,1级
2023-12-02,星期六,12℃,11℃,阴~多云,东北风,1级
2023-12-03,星期日,14℃,11℃,阴~小雨,东北风,1级
2023-12-04,星期一,16℃,10℃,阴~多云,西南风,1级
2023-12-05,星期二,16℃,9℃,阴~多云,东北风,1级
2023-12-06,星期三,17℃,9℃,阴~晴,西南风,2级
2023-12-07,星期四,19℃,10℃,多云,东北风,1级
2023-12-08,星期五,16℃,12℃,阴,北风,1级
2023-12-09,星期六,15℃,13℃,阴,东北风,1级
2023-12-10,星期日,16℃,14℃,阴,东北风,1级
2023-12-11,星期一,14℃,11℃,阴,西南风,1级
2023-12-12,星期二,15℃,13℃,阴,东北风,2级
2023-12-13,星期三,17℃,12℃,阴~多云,东北风,2级
2023-12-14,星期四,18℃,11℃,阴,北风,1级
2023-12-15,星期五,12℃,5℃,阴~小雨,西北风,3级
2023-12-16,星期六,6℃,5℃,阴,西北风,1级
2023-12-17,星期日,6℃,5℃,阴,东风,1级
2023-12-18,星期一,7℃,4℃,阴~晴,西风,1级
2023-12-19,星期二,8℃,4℃,阴~多云,东北风,1级
2023-12-20,星期三,10℃,5℃,阴~多云,东南风,1级
2023-12-21,星期四,9℃,6℃,阴,东南风,1级
2023-12-22,星期五,10℃,5℃,阴~多云,东北风,2级
2023-12-23,星期六,11℃,6℃,阴~多云,东北风,2级
2023-12-24,星期日,13℃,6℃,晴~多云,西南风,1级
2023-12-25,星期一,11℃,8℃,阴,东北风,1级
2023-12-26,星期二,13℃,6℃,多云~晴,西南风,1级
2023-12-27,星期三,14℃,8℃,晴~多云,东北风,1级
2023-12-28,星期四,11℃,10℃,阴~小雨,西风,1级
2023-12-29,星期五,11℃,7℃,阴~多云,西南风,1级
2023-12-30,星期六,13℃,7℃,多云,东北风,1级
2023-12-31,星期日,11℃,7℃,阴~小雨,西北风,1级
