日期,星期,最高气温,最低气温,天气,风向,级数
2020-09-01,星期二,29℃,21℃,阴,东北风,1级
2020-09-02,星期三,30℃,23℃,多云,西北风,1级
2020-09-03,星期四,31℃,21℃,阴,北风,1级
2020-09-04,星期五,29℃,22℃,多云,东北风,1级
2020-09-05,星期六,27℃,20℃,小雨到中雨,西北风,2级
2020-09-06,星期日,30℃,19℃,晴,西风,2级
2020-09-07,星期一,32℃,21℃,多云,东南风,1级
2020-09-08,星期二,31℃,23℃,多云,西北风,1级
2020-09-09,星期三,27℃,21℃,多云,北风,1级
2020-09-10,星期四,25℃,21℃,多云,西风,1级
2020-09-11,星期五,25℃,18℃,阴,西北风,1级
2020-09-12,星期六,21℃,18℃,小雨,西北风,1级
2020-09-13,星期日,23℃,18℃,阴,西北风,1级
2020-09-14,星期一,23℃,20℃,阴,西北风,1级
2020-09-15,星期二,23℃,19℃,阴,西北风,1级
2020-09-16,星期三,22℃,17℃,小雨,西北风,1级
2020-09-17,星期四,25℃,15℃,晴,西北风,2级
2020-09-18,星期五,25℃,16℃,多云,东风,1级
2020-09-19,星期六,26℃,19℃,阴,北风,1级
2020-09-20,星期日,21℃,19℃,阴,北风,2级
2020-09-21,星期一,21℃,17℃,小雨,西北风,2级
2020-09-22,星期二,25℃,18℃,阴,东南风,2级
2020-09-23,星期三,24℃,18℃,多云,东南风,2级
2020-09-24,星期四,25℃,18℃,小雨,东北风,2级
2020-09-25,星期五,19℃,16℃,小雨,西北风,2级
2020-09-26,星期六,19℃,17℃,阴,西北风,1级
2020-09-27,星期日,21℃,16℃,阴,西北风,1级
2020-09-28,星期一,19℃,18℃,阴,东北风,1级
2020-09-29,星期二,26℃,18℃,多云,南风,1级
2020-09-30,星期三,24℃,19℃,阴,东南风,1级
