日期,星期,最高气温,最低气温,天气,风向,级数
2020-06-01,星期一,29℃,18℃,大雨到暴雨,东风,2级
2020-06-02,星期二,25℃,19℃,阴,西风,2级
2020-06-03,星期三,32℃,19℃,多云转多云,南风,1级
2020-06-04,星期四,30℃,20℃,多云转多云,东南风,1级
2020-06-05,星期五,33℃,21℃,多云,南风,1级
2020-06-06,星期六,31℃,22℃,小雨,东南风,2级
2020-06-07,星期日,27℃,21℃,小雨,东北风,1级
2020-06-08,星期一,25℃,22℃,小雨,西北风,1级
2020-06-09,星期二,30℃,21℃,多云,东南风,2级
2020-06-10,星期三,30℃,21℃,多云,东南风,1级
