日期,星期,最高气温,最低气温,天气,风向,级数
2021-06-01,星期二,28℃,21℃,阴到小雨,西北风,1级
2021-06-02,星期三,29℃,18℃,多云,东南风,2级
2021-06-03,星期四,24℃,16℃,阴转小雨,西风,2级
2021-06-04,星期五,30℃,17℃,阴,南风,1级
2021-06-05,星期六,32℃,20℃,多云,东南风,1级
2021-06-06,星期日,28℃,21℃,阴,西北风,1级
2021-06-07,星期一,26℃,20℃,阴,西风,1级
2021-06-08,星期二,27℃,18℃,阴,西风,1级
2021-06-09,星期三,23℃,19℃,阴,东风,1级
2021-06-10,星期四,30℃,21℃,多云,东南风,2级
2021-06-11,星期五,29℃,21℃,阴,东南风,2级
2021-06-12,星期六,29℃,22℃,阴,东风,1级
2021-06-13,星期日,29℃,23℃,阴,东北风,1级
2021-06-14,星期一,30℃,24℃,多云,东北风,1级
2021-06-15,星期二,33℃,24℃,阴,北风,2级
2021-06-16,星期三,30℃,20℃,阴,北风,2级
2021-06-17,星期四,23℃,19℃,阴,南风,1级
2021-06-18,星期五,26℃,20℃,阴,东南风,1级
2021-06-19,星期六,29℃,21℃,多云,东南风,1级
2021-06-20,星期日,30℃,21℃,多云,东南风,1级
2021-06-21,星期一,32℃,22℃,阴,东南风,1级
2021-06-22,星期二,34℃,23℃,阴,西南风,1级
2021-06-23,星期三,31℃,23℃,阴,东南风,1级
2021-06-24,星期四,23℃,22℃,阴,东北风,2级
2021-06-25,星期五,26℃,21℃,阴,西北风,1级
2021-06-26,星期六,28℃,22℃,阴,东北风,1级
2021-06-27,星期日,27℃,24℃,阴,东北风,1级
2021-06-28,星期一,33℃,24℃,阴,东北风,2级
2021-06-29,星期二,33℃,23℃,阴,北风,2级
2021-06-30,星期三,32℃,24℃,阴,北风,1级
