日期,星期,最高气温,最低气温,天气,风向,级数
2019-06-01,星期六,30℃,19℃,晴,南风,2级
2019-06-02,星期日,34℃,20℃,晴转多云,东南风,1级
2019-06-03,星期一,33℃,22℃,晴转多云,东风,1级
2019-06-04,星期二,32℃,24℃,多云转雨,西北风,1级
2019-06-05,星期三,31℃,22℃,晴转多云,东北风,2级
2019-06-06,星期四,32℃,23℃,晴转多云,东南风,2级
2019-06-07,星期五,29℃,23℃,多云转雨,东风,2级
2019-06-08,星期六,29℃,22℃,小雨转雨,西风,1级
2019-06-09,星期日,28℃,22℃,多云,西南风,1级
2019-06-10,星期一,30℃,22℃,小雨转雨,北风,2级
